,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
274,BOG,BOG,EL DORADO,"Bogotá, D.C.","Bogotá, D.C.",Internacional,4.7017,-74.1469,AEROCIVIL,EN CONCESION CODAD,3800.0,60.0,nan,8356.0,"  320,000",1999-12-09,nan,4E,Aerocivil,1804153.0,11,11001
134,9DG,nan,EL LAGO - CA,Piedras,Tolima,Aeródromo,4.5575,-74.9003,BERNEY RODRIGUEZ,OSMANI RODRIGUEZ CARDOZO,350.0,10.0,500.0,1050.0," 6744,000",2016-12-17,nan,UL,Privado,479797.0,73,73547
803,TLU,TLU,TOLU,Tolú Viejo,Sucre,Regional,9.5095,-75.5859,AEROCIVIL,AEROCIVIL,1350.0,16.0,12202.0,15.0,"  455,000",2000-12-24,nan,2A,Aerocivil,227253.0,70,70823
174,9MK,nan,VILLA ISABELLA,Trinidad,Casanare,Aeródromo,5.2993,-71.3434,RAFAEL QUESADA,TAES LTDA.,800.0,10.0,2000.0,620.0," 4313,000",2018-10-31,nan,1A,Fumigación,493950.0,85,85430
344,CUC,CUC,CAMILO DAZA,San José de Cúcuta,Norte de Santander,Internacional,7.9274,-72.5116,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,1920.0,45.0,nan,1027.0,"  984,000",2013-04-28,nan,4D,Aerocivil,91797.0,54,54001
92,9BE,nan,LAS VEGAS,Paz de Ariporo,Casanare,Aeródromo,6.0072,-71.2842,ALEIDA JERONIMO NAVAS,ALEIDA JERONIMO NAVAS,740.0,15.0,3500.0,430.0," 1657,000",2016-11-10,nan,1A,Privado,462527.0,85,85250
860,YPP,nan,GERMAN ALBERTO,Yopal,Casanare,Aeródromo,5.1875,-72.3191,JOSE NELSON PEREZ R.,CELTA LTDA.,800.0,15.0,2000.0,735.0," 4511,000",2018-11-25,2018-11-10,1A,Fumigación,45537.0,85,85001
855,VVU,nan,SANTA ISABEL,Villavicencio,Meta,Aeródromo,3.9873,-73.2091,EFA LTDA.,EFA LTDA.,800.0,10.0,2000.0,689.0," 2634,000",2018-11-27,nan,1A,Fumigación,119198.0,50,50001
10,7GD,nan,VELASQUEZ,Puerto Boyacá,Boyacá,Aeródromo,5.9482,-74.4575,FAC,MANSAROVAR,1500.0,18.0,10000.0,617.0," 2135,000",2016-11-25,nan,3C,Privado,987668.0,15,15572
178,9MO,nan,SAN NICOLAS,Tauramena,Casanare,Aeródromo,4.4703,-72.4575,CARLOS E. CONTRERAS,ASAM LTDA.,840.0,10.0,2000.0,585.0," 4510,000",2012-08-22,nan,1A,Fumigación,244452.0,85,85410
797,TCO,nan,LA FLORIDA,San Andrés de Tumaco,Nariño,Nacional,1.8144,-78.749,AEROCIVIL,AEROCIVIL,1600.0,30.0,nan,10.0,"  455,000",1973-11-19,nan,3C,Aerocivil,596754.0,52,52835
374,ELB,ELB,LAS FLORES,El Banco,Magdalena,Aeródromo,9.0428,-73.9715,AEROCIVIL,AEROCIVIL,1225.0,28.0,19045.0,110.0," 1374,000",1996-09-15,nan,3B,Aerocivil,58930.0,47,47245
75,9AJ,nan,SAN LUIS DE PACA,Mitú,Vaupés,Aeródromo,0.8744,-70.3464,RESGUARDO INDIGENA,GOBERNACION DEL VAUPES,424.0,10.0,1650.0,590.0," 3423,000",2011-09-19,nan,1A,Público,186305.0,97,97001
203,A03,nan,FORTUL,Fortul,Arauca,Aeródromo,6.7817,-71.7791,GOBERNACION,MUNICIPIO,700.0,13.0,4000.0,730.0," 2036,000",2014-11-29,nan,1A,Público,575874.0,81,81300
62,7NP,nan,EL CAIRANO,Santa Catalina,Bolívar,Aeródromo,10.7124,-75.2649,CARLOS E. GUERRERO,ENRIQUE MORALES NUÑEZ,215.0,10.0,400.0,30.0,"  998,000",2016-08-08,nan,UL,Privado,42644.0,13,13673
177,9MN,nan,EL PEDRAL BONANZA,Puerto Wilches,Santander,Aeródromo,7.2417,-73.8151,nan,AEROPENORT LTDA.,800.0,10.0,3000.0,282.0,nan,2013-10-11,2012-09-22,1A,Fumigación,883478.0,68,68575
607,NQU,NQU,REYES MURILLO,Nuquí,Chocó,Regional,5.712,-77.2627,AEROCIVIL,AEROCIVIL,930.0,10.0,nan,13.0,"    2,279",2004-08-24,nan,1A,Aerocivil,163264.0,27,27495
268,BMG,nan,BARRANCO MINAS,Barranco Minas,Guainía,Aeródromo,3.4907,-69.8097,GOBERNACION,DEPARTAMENTO,900.0,15.0,nan,125.0," 2477,000",1984-09-17,nan,1A,Público,1027931.0,94,94343
170,9MG,nan,MADREVIEJA,Nunchía,Casanare,Aeródromo,5.4623,-71.9584,CELMIRA BARRAGAN F.,CELMIRA BARRAGAN F.,1000.0,10.0,2000.0,640.0," 4509,000",2018-10-16,nan,1A,Fumigación,314181.0,85,85225
661,PIP,RON,PAIPA JUAN JOSE RONDON,Paipa,Boyacá,Aeródromo,5.7644,-73.1057,AEROCIVIL,AEROCIVIL,1700.0,30.0,11400.0,8205.0,"  984,000",1996-02-30,nan,3C,Aerocivil,202729.0,15,15516
206,ACD,ACD,ALCIDES FERNANDEZ,Acandí,Chocó,Regional,8.4969,-77.2739,INCORA LTDA,MUNICIPIO,1200.0,16.0,nan,50.0," 1072,000",2018-10-18,nan,3A,Público,226258.0,27,27006
71,9AD,nan,URACA - CA.,Puerto Colombia,Atlántico,Aeródromo,11.0062,-74.9224,NORA CARVAJALINO,ALAS DEL CARIBE,320.0,10.0,800.0,204.0," 5624,000",2018-11-13,2018-11-30,UL,Privado,527085.0,8,8573
209,ACP,nan,ACAPULCO,Nunchía,Casanare,Aeródromo,5.4086,-71.8694,YOLANDA CAMACHO V.,MARIA A. PACHECO OCHOA,870.0,10.0,2000.0,656.0," 4895,000",2016-12-22,2014-09-15,1A,Fumigación,623127.0,85,85225
12,7GF,nan,LA UNION,Paz de Ariporo,Casanare,Aeródromo,5.6283,-70.7032,MARTHA Y. VARGAS DE R.,GEOPARK CUERVA,640.0,18.0,3500.0,335.0," 2136,000",2014-08-27,nan,1A,Privado,830938.0,85,85250
112,9CD,nan,VARSOVIA,Paz de Ariporo,Casanare,Aeródromo,5.849,-70.3648,MUNICIPIO,MUNICIPIO,550.0,15.0,2000.0,328.0," 4541,000",2014-12-29,2018-11-17,1A,Público,985035.0,85,85250
111,9CC,nan,EL TOTUMO,Paz de Ariporo,Casanare,Aeródromo,5.9387,-71.2217,MUNICIPIO,MUNICIPIO,520.0,15.0,2000.0,476.0," 4541,000",2017-12-29,2016-11-25,1A,Público,333041.0,85,85250
30,7HC,nan,EL CAFUCHE,La Primavera,Vichada,Aeródromo,5.3152,-70.0184,ANDRES CARVAJAL MOLINA,ANDRES CARVAJAL MOLINA,850.0,18.0,4000.0,384.0," 3826,000",2017-08-30,2018-08-29,1A,Privado,407605.0,99,99524
160,9LX,nan,LA GAITANA,Cabuyaro,Meta,Aeródromo,4.2253,-73.0298,P.VICENTE PERALES,FACOL LTDA.,800.0,10.0,4500.0,627.0," 1844,000",2018-11-28,nan,1A,Fumigación,71073.0,50,50124
858,YOP,nan,TROMPILLOS,Yopal,Casanare,Aeródromo,5.0932,-72.1807,ALEXANDER RIVERA,CELTA LTDA.,800.0,15.0,2000.0,623.0," 4736,000",2017-12-14,nan,1A,Fumigación,37973.0,85,85001
120,9CL,nan,LA VENTUROSA,San Luis de Palenque,Casanare,Aeródromo,5.2388,-71.3035,MUNICIPIO,EL MISMO,620.0,15.0,2000.0,459.0," 4542,000",2007-11-31,nan,1A,Público,664553.0,85,85325
250,BAL,nan,INGENIO RISARALDA,Balboa,Risaralda,Aeródromo,4.8948,-75.9044,INGENIO RISARALDA,ING.RISARALDA-ASOCAÑA,250.0,10.0,500.0,3034.0," 2954,000",2016-06-29,2015-09-30,1A,Fumigación,800814.0,66,66075
798,TDA,TDA,TRINIDAD,Trinidad,Casanare,Aeródromo,5.4349,-71.6584,AEROCIVIL,AEROCIVIL,1148.0,10.0,12202.0,560.0,"  644,000",2017-07-15,nan,2A,Aerocivil,641926.0,85,85430
699,PTW,nan,GEMELOS DORADOS,Puerto Wilches,Santander,Aeródromo,7.2466,-73.7723,MILTON A. SALAZAR REY,EL MISMO,850.0,15.0,5670.0,314.0," 6473,000",2014-12-30,2018-06-28,1A,Privado,365766.0,68,68575
155,9LR,nan,LOS REMANSOS,Cimitarra,Santander,Aeródromo,6.5729,-74.2195,NELLY VALENCIA,AEROPENORT LTDA.,700.0,10.0,3000.0,357.0," 4373,000",2018-10-31,2016-12-14,1A,Fumigación,244511.0,68,68190
443,HTZ,HTZ,HATO COROZAL,Hato Corozal,Casanare,Aeródromo,6.1535,-71.7616,AEROCIVIL,AEROCIVIL,1040.0,14.0,12202.0,830.0,"  502,000",1980-10-29,nan,2C,Aerocivil,543830.0,85,85125
73,9AH,nan,SAN ROQUE  - CA.,San Pedro,Valle del Cauca,Aeródromo,4.0039,-76.2209,IRMA HERNANDEZ DE M.,JAKOB OLIVIER,235.0,10.0,400.0,3366.0," 5622,000",2015-10-19,nan,UL,Privado,178332.0,76,76670
157,9LT,nan,LOS GAVANES (LA MATA),Arauca,Arauca,Aeródromo,7.0093,-70.7743,FUMIGAR,FUMIVILLA,760.0,12.0,3000.0,416.0," 2141,000",2016-10-23,nan,1A,Fumigación,562394.0,81,81001
183,9MT,nan,AGUAS CLARAS,Sabana de Torres,Santander,Aeródromo,7.2731,-73.5626,EDGAR MEZA ORTIZ,EDGAR MEZA ORTIZ,800.0,10.0,2500.0,652.0," 1681,000",2014-10-25,nan,1A,Fumigación,73037.0,68,68655
340,CTG,CTG,RAFAEL NUÑEZ,Cartagena de Indias,Bolívar,Internacional,10.442,-75.5123,AEROCIVIL,CONCESION-SACSA,2380.0,45.0,nan,7.0," 4501,000",2012-11-25,nan,4D,Aerocivil,598113.0,13,13001
130,9DB,nan,PALMAS DE TUMACO  -CA,San Andrés de Tumaco,Nariño,Aeródromo,1.496,-78.765,PALMAS DE TUMACO S.A.,PALMAS DE TUMACO S.A.,225.0,10.0,500.0,136.0," 1897,000",2014-05-17,2018-06-10,UL,Privado,755411.0,52,52835
703,PUU,PUU,TRES DE MAYO,Puerto Asís,Putumayo,Nacional,0.5054,-76.5008,AEROCIVIL,AEROCIVIL,1485.0,25.0,33112.0,809.0,"  115,000",1981-09-09,nan,3C,Aerocivil,251978.0,86,86568
158,9LU,nan,EL RODEO,Tauramena,Casanare,Aeródromo,4.5772,-72.6914,JEREMIAS VACA RIAÑO,ASAM LTDA.,800.0,10.0,2000.0,746.0," 6069,000",2014-11-25,nan,1A,Fumigación,733005.0,85,85410
171,9MH,nan,SAN JUAN,San Martín,Meta,Aeródromo,3.7017,-73.3774,RODOLFO MENDEZ,MARIA A. PACHECO O.,740.0,10.0,2000.0,870.0," 1840,000",2015-10-27,2016-07-08,1A,Fumigación,127582.0,50,50689
145,9LG,nan,VILLA GEORGINA,Tauramena,Casanare,Aeródromo,4.3625,-74.3214,SANTIAGO PULIDO NIÑO,COMERCIALIZAD. ECO,710.0,10.0,2000.0,594.0,nan,2018-10-22,nan,1A,Fumigación,707334.0,85,85410
2,7FU,nan,LA ESCONDIDA,Puerto Gaitán,Meta,Aeródromo,4.6108,-71.1935,PALMAS SICARARE S.A.S.,COSARGO S.A.S.,1300.0,18.0,5000.0,564.0," 1843,000",2015-09-29,2017-05-31,1A,Fumigación,751777.0,50,50568
822,UIB,UIB,EL CARAÑO,Quibdó,Chocó,Nacional,5.6908,-76.6412,AEROCIVIL,EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte,1300.0,30.0,63196.0,192.0,"  522,000",2010-12-17,nan,3C,Aerocivil,141894.0,27,27001
185,9MW,nan,LAS NUBES,Puerto Gaitán,Meta,Aeródromo,4.2563,-71.7977,AGMO NUBES INVER.S.A.S,AGMO NUBES INVERSIONES,1000.0,18.0,4500.0,1030.0," 1942,000",2017-09-04,2018-12-18,1A,Fumigación,657540.0,50,50568
33,7HF,nan,GAVILAN DE LA PASCUA,La Primavera,Vichada,Aeródromo,5.1166,-70.3806,RESGUARDO INDIGENA ORIPGA,RES. INDIGENA ORIPGA,1200.0,15.0,3500.0,419.0," 7257,000",2016-12-22,nan,1A,Público,66992.0,99,99524
90,9BC,nan,CANTADELICIAS,Alpujarra,Tolima,Aeródromo,3.3873,-74.9338,MUNICIPIO,MUNICIPIO,700.0,15.0,12200.0,4213.0," 4541,000",2013-11-26,nan,1A,Público,53331.0,73,73024
210,ACR,ACR,ARARACUARA,Solano,Caquetá,Regional,-0.6008,-72.3981,GOBERNACION,GOBERNACION,1300.0,30.0,27000.0,800.0,"   31,000",2008-03-09,nan,3C,Público,447787.0,18,18756
265,BIZ,nan,BIZERTA,Nunchía,Casanare,Aeródromo,5.4225,-71.9936,CELMIRA BARRAGAN F.,FUMIVILLA LTDA,700.0,10.0,2000.0,639.0,"  151,000",2016-09-28,nan,1A,Fumigación,224806.0,85,85225
175,9ML,nan,MIRADOR,Trinidad,Casanare,Aeródromo,5.4326,-71.6009,ANGELICA VEGA,TAES LTDA.,790.0,10.0,2000.0,620.0," 4314,000",2017-11-30,nan,1A,Fumigación,240331.0,85,85430
165,9MA,nan,EL DELIRIO,Arauca,Arauca,Aeródromo,6.9831,-70.882,CARMEN A. CABEZAS PEREZ,FUMIVILLA,800.0,10.0,3000.0,430.0," 5180,000",2012-11-26,2016-11-14,1A,Fumigación,704150.0,81,81001
353,CZU,CZU,LAS BRUJAS,Corozal,Sucre,Regional,9.3325,-75.2853,AEROCIVIL,EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte,1430.0,22.0,nan,519.0," 1862,000",1988-07-25,nan,3C,Aerocivil,813666.0,70,70215
123,9CQ,nan,LOMA GRANDE - CA,Ayapel,Córdoba,Aeródromo,8.2937,-75.1176,O.V. OROZCO Y CIA. S.C.A.,EL MISMO,350.0,10.0,400.0,1280.0," 3341,000",2013-07-30,nan,UL,Privado,829737.0,23,23068
115,9CG,nan,SAN JOSE DEL ARIPORO,Paz de Ariporo,Casanare,Aeródromo,6.0475,-70.0128,MUNICIPIO,MUNICIPIO,570.0,15.0,2000.0,318.0," 4541,000",2007-10-27,2018-11-26,1A,Público,917463.0,85,85250
86,9AX,nan,SANTA CRUZ,Puerto López,Meta,Aeródromo,4.1318,-73.1814,JULIO STRAUCH D.,COMERCIALIZADORA ECO,650.0,10.0,2000.0,659.0," 2685,000",2018-12-30,nan,1A,Fumigación,261121.0,50,50573
149,9LK,nan,HATO VIEJO,Arauca,Arauca,Aeródromo,6.8964,-70.7791,COMERCIALIZADORA EL PROVEEDOR LTDA.,FUMIVILLA,750.0,10.0,2000.0,416.0," 2141,000",2015-11-16,nan,1A,Fumigación,566115.0,81,81001
848,VUP,VUP,ALFONSO LOPEZ PUMAREJO,Valledupar,Cesar,Nacional,10.4351,-73.2494,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,2100.0,30.0,nan,450.0,"  352,000",1969-11-19,nan,4C,Aerocivil,963136.0,20,20001
245,AUR,nan,EL CORAJE,Ariguaní,Magdalena,Aeródromo,10.0247,-74.067,CAMAGUEY S.A.,CAMAGUEY S.A.,720.0,15.0,4000.0,282.0," 7094,000",2014-12-22,nan,1A,Privado,624652.0,47,47058
116,9CH,nan,COLINERAS,Paz de Ariporo,Casanare,Aeródromo,6.0713,-70.3678,MUNICIPIO,MUNICIPIO,410.0,15.0,2000.0,338.0," 4541,000",2014-10-27,2016-12-08,1A,Público,364845.0,85,85250
615,NVA,NVA,BENITO SALAS,Neiva,Huila,Internacional,2.9499,-75.2941,AEROCIVIL,AEROCIVIL,1600.0,40.0,nan,1464.0,"   57,000",1990-10-30,nan,3C,Aerocivil,433267.0,41,41001
213,AER,nan,AEROFLANDES - C.A.,Flandes,Tolima,Aeródromo,4.2171,-74.8454,AEROFLANDES,CLUB.ULTR-LA LIBELULA,240.0,10.0,500.0,1049.0," 1211,000",2015-06-28,2018-10-27,UL,Privado,680299.0,73,73275
169,9ME,nan,CACHIMBALITO - CA,Santander de Quilichao,Cauca,Aeródromo,3.1653,-76.4738,INCAUCA,INCAUCA.S.A. - ASOCAÑA,250.0,10.0,500.0,3241.0," 2956,000",2015-06-30,2016-10-30,1A,Fumigación,91841.0,19,19698
202,A02,nan,CAÑO COLORADO,Inírida,Guainía,Aeródromo,2.2774,-68.3599,GOBERNACION,GOBERNACION,1100.0,15.0,12202.0,413.0," 4419,000",2018-12-28,nan,1C,Público,61256.0,94,94001
172,9MI,nan,LA FORTUNA,Puerto López,Meta,Aeródromo,4.1028,-72.978,SAAC S.A.S,SAAC S.A.S,780.0,15.0,3000.0,690.0,nan,2016-08-15,2015-12-22,1A,Fumigación,506337.0,50,50573
4,7FX,nan,CAROLINA DEL PRINCIPE,Carolina,Antioquia,Aeródromo,6.7248,-75.2909,MUNICIPIO,MUNICIPIO,400.0,16.0,1000.0,6004.0," 6470,000",2015-11-26,nan,1A,Público,590135.0,5,5150
207,ACI,nan,EL MONASTERIO,Acacías,Meta,Aeródromo,3.9587,-73.4425,EFA LTDA.,EFA LTDA.,680.0,10.0,2000.0,948.0," 2634,000",2015-08-28,nan,1A,Fumigación,931565.0,50,50006
181,9MR,nan,LOS GANSOS,Cumaribo,Vichada,Aeródromo,4.6764,-70.9997,LOS GANSOS 1 S.A.S.,LOS GANSOS 1 S.AS.,900.0,40.0,2000.0,544.0," 7390,000",2012-12-30,nan,1A,Fumigación,787984.0,99,99773
819,TTM,TTM,TABLON DE TAMARA,Támara,Casanare,Aeródromo,5.7267,-72.1006,AEROCIVIL,AEROCIVIL,1317.0,30.0,12202.0,1650.0,"  644,000",1998-11-28,nan,2C,Aerocivil,187664.0,85,85400
216,AFI,AFI,EL RIO,Amalfi,Antioquia,Aeródromo,6.8954,-75.0475,AEROCIVIL,AEROCIVIL,970.0,20.0,3500.0,4831.0,"  551,000",1972-10-17,nan,2A,Aerocivil,980166.0,5,5031
180,9MQ,nan,EL RASTRO,Cumaribo,Vichada,Aeródromo,4.7022,-70.8617,EL RASTRO 1 S.A.S.,EL RASTRO  1 S.A.S,800.0,15.0,2000.0,545.0," 7391,000",2015-12-29,nan,1A,Fumigación,456819.0,99,99773
84,9AU,nan,LAS FURIAS,Nunchía,Casanare,Aeródromo,5.4039,-72.1228,MAURICIO CALA PEREZ,SFA LTDA.,800.0,10.0,2000.0,688.0," 5611,000",2014-10-14,2015-12-11,1A,Fumigación,45212.0,85,85225
570,MQU,MQU,JOSE CELESTINO,San Sebastián de Mariquita,Tolima,Regional,5.2126,-74.8837,AEROCIVIL,AEROCIVIL,1790.0,45.0,nan,1531.0,"   51,000",2011-01-28,nan,2A,Aerocivil,353329.0,73,73443
229,ALV,nan,EL DIAMANTE,Alvarado,Tolima,Aeródromo,4.5694,-74.9337,ELIAS ACOSTA Y CIA LTDA,CRUZ VERDE,620.0,10.0,2000.0,1312.0," 4728,000",2016-10-27,nan,1A,Fumigación,163494.0,73,73026
39,7HM,nan,LLANO CAUCHO,Cumaribo,Vichada,Aeródromo,4.4355,-70.6954,AGROINDUSTRIALES DEL ORIENTE,AGROINVERSIONES DEL ORIENTE S.A.S,900.0,15.0,12000.0,434.0," 5189,000",2014-12-30,nan,1A,Privado,918033.0,99,99773
179,9MP,nan,LOS LOBOS,Tauramena,Casanare,Aeródromo,4.4748,-72.7478,AGROVIMART S.A.,AGIL LTDA.,800.0,10.0,3000.0,580.0," 1685,000",2015-11-27,2018-09-22,1A,Fumigación,988981.0,85,85410
16,7GK,nan,LAS VIOLETAS- CA,Castilla la Nueva,Meta,Aeródromo,3.8519,-73.7286,FRANCELINA CADENA,AEROCLUB DEL META,350.0,10.0,500.0,609.0," 4132,000",2017-09-24,nan,UL,Privado,420744.0,50,50150
371,EJA,EJA,YARIGUIES,Barrancabermeja,Santander,Nacional,7.0244,-73.8068,AEROCIVIL,AEROCIVIL -ORIENTE S.A.S.,1800.0,45.0,61100.0,414.0,"  115,000",1974-12-18,nan,3C,Aerocivil,1033304.0,68,68081
2,7FU,nan,LA ESCONDIDA,Puerto Gaitán,Meta,Aeródromo,4.6108,-71.1935,PALMAS SICARARE S.A.S.,COSARGO S.A.S.,1300.0,18.0,5000.0,564.0," 1843,000",2013-04-26,2016-05-07,1A,Fumigación,30.0,50,50568
3,7FW,nan,MORICHITO,Hato Corozal,Casanare,Aeródromo,5.9188,-71.7932,CARMEN NARANJO,ROBERTO C. RIAÑO P.,800.0,15.0,3500.0,720.0," 2220,000",2009-05-07,nan,1A,Privado,nan,85,85125
4,7FX,nan,CAROLINA DEL PRINCIPE,Carolina,Antioquia,Aeródromo,6.7248,-75.2909,MUNICIPIO,MUNICIPIO,400.0,16.0,1000.0,6004.0," 6470,000",2013-11-19,nan,1A,Público,nan,5,5150
5,7FY,nan,DUBAI,Ayapel,Córdoba,Aeródromo,8.296,-75.0307,ANDRES D. LONDOÑO T.,ANDRES D. LONDOÑO T.,350.0,10.0,500.0,82.0," 1212,000",2013-03-20,nan,1A,Privado,nan,23,23068
7,7GA,nan,BARU - HIDROPUERTO,Cartagena de Indias,Bolívar,Aeródromo,10.2321,-75.5877,MAURICIO E. VASQUEZ M.,EL MISMO,450.0,20.0,500.0,0.0," 6067,000",2012-10-25,2015-11-07,1A,Privado,nan,13,13001
8,7GB,nan,LA CAROLINA,El Paso,Cesar,Aeródromo,9.528,-73.7866,JORGE AGUDELO RESTREPO,JORGE AGUDELO REST.,350.0,10.0,500.0,690.0," 5474,000",2009-10-06,nan,UL,Privado,nan,20,20250
9,7GC,nan,SAN FELIPE DEL PAUTO,Trinidad,Casanare,Aeródromo,5.2032,-70.8951,AGRAS S.A.S,AGRAS S.A.S,720.0,10.0,3000.0,3125.0," 4505,000",2012-08-16,nan,1A,Privado,153.0,85,85430
10,7GD,nan,VELASQUEZ,Puerto Boyacá,Boyacá,Aeródromo,5.9482,-74.4575,FAC,MANSAROVAR,1500.0,18.0,10000.0,617.0," 2135,000",2013-05-16,nan,3C,Privado,2325.0,15,15572
12,7GF,nan,LA UNION,Paz de Ariporo,Casanare,Aeródromo,5.6283,-70.7032,MARTHA Y. VARGAS DE R.,GEOPARK CUERVA,640.0,18.0,3500.0,335.0," 2136,000",2013-05-16,nan,1A,Privado,1122.0,85,85250
13,7GG,nan,LA ILUSION,Maní,Casanare,Aeródromo,4.5805,-72.4282,SIGRA S.A.,SIGRA S.A.,890.0,18.0,3500.0,574.0," 1944,000",2013-05-03,2016-05-10,1A,Privado,2.0,85,85139
14,7GH,nan,LA VENTUROSA,Puerto Carreño,Vichada,Aeródromo,6.1391,-68.7779,MUNICIPIO,GOBERNACION,1000.0,12.0,9500.0,246.0," 6782,000",2013-12-05,nan,1A,Público,54.0,99,99001
15,7GI,nan,GUAYABAL DEL CRAVO,Orocué,Casanare,Aeródromo,4.7223,-71.5943,KLAUS PUTH ARANGUREN,KLAUS PUTH ARANGUREN,750.0,12.0,2500.0,442.0," 3710,000",2013-07-24,2016-08-01,1A,Privado,1.0,85,85230
16,7GK,nan,LAS VIOLETAS- CA,Castilla la Nueva,Meta,Aeródromo,3.8519,-73.7286,FRANCELINA CADENA,AEROCLUB DEL META,350.0,10.0,500.0,609.0," 4132,000",2010-08-19,nan,UL,Privado,nan,50,50150
18,7GN,nan,LOS MANGOS,Ayapel,Córdoba,Aeródromo,8.2956,-75.0987,MANUEL LOPEZ ORTEGA,MANUEL LOPEZ ORTEGA,200.0,10.0,500.0,90.0," 5190,000",2013-09-24,nan,UL,Privado,nan,23,23068
28,7HA,nan,EL CONDOR,Flandes,Tolima,Aeródromo,4.2595,-74.8308,AEROTURBO DE COLOMBIA,LUIS FDO. BARRETO CAVIEDES,280.0,10.0,500.0,992.0," 5730,000",2012-10-09,2015-12-03,UL,Privado,nan,73,73275
29,7HB,nan,HOTEL SAN DIEGO,Puerto Gaitán,Meta,Aeródromo,3.7693,-71.8179,MADYGAN S.A.S.,MADYGAN S.A.S.,800.0,18.0,4000.0,725.0," 6730,000",2012-11-26,2015-12-03,2A,Privado,92.0,50,50568
30,7HC,nan,EL CAFUCHE,La Primavera,Vichada,Aeródromo,5.3152,-70.0184,ANDRES CARVAJAL MOLINA,ANDRES CARVAJAL MOLINA,850.0,18.0,4000.0,384.0," 3826,000",2013-07-30,2016-08-01,1A,Privado,1.0,99,99524
32,7HE,nan,GUACHARACAS (COLOMBAIMA),Beltrán,Cundinamarca,Aeródromo,4.7371,-74.8021,EMPRESA GUACHARACAS,CCA. LTDA,700.0,10.0,3000.0,797.0," 5920,000",2012-10-19,nan,1A,Privado,1.0,25,25086
33,7HF,nan,GAVILAN DE LA PASCUA,La Primavera,Vichada,Aeródromo,5.1166,-70.3806,RESGUARDO INDIGENA ORIPGA,RES. INDIGENA ORIPGA,1200.0,15.0,3500.0,419.0," 7257,000",2012-12-20,nan,1A,Público,85.0,99,99524
34,7HG,nan,DOROTEA B1,Paz de Ariporo,Casanare,Aeródromo,5.5122,-71.0248,NEW GRANADA ENERGY,NEW GRANADA ENERGY,1000.0,18.0,nan,404.0," 2362,000",2013-05-27,nan,2A,Privado,1029.0,85,85250
35,7HH,nan,HORIZONTES,Piedecuesta,Santander,Aeródromo,7.0017,-73.1037,DESARROLLOS METROPOLITANOS,DESARROLLOS METROPOLITANOS,610.0,12.0,3500.0,4195.0," 5186,000",2013-09-24,nan,1A,Privado,nan,68,68547
36,7HJ,nan,MACOLLA,Maní,Casanare,Aeródromo,4.7713,-72.0714,GRAMERCY S.A.S.,AGROPECUARIA CACOLLA S.A.S.,950.0,18.0,5000.0,548.0," 2134,000",2013-05-16,nan,1A,Privado,12.0,85,85139
37,7HK,nan,MULETOS- CA,Maní,Casanare,Aeródromo,4.5549,-72.1753,MULETOS S.A.S.,MULETOS S.A.S.,350.0,10.0,500.0,790.0," 2142,000",2013-05-16,nan,UL,Privado,nan,85,85139
38,7HL,nan,LA MAPORA,Pore,Casanare,Aeródromo,5.6459,-71.9887,PAULA ANDREA CANO A.,PAULA ANDREA CANO,350.0,10.0,500.0,497.0," 2199,000",2013-05-17,nan,1A,Privado,nan,85,85263
39,7HM,nan,LLANO CAUCHO,Cumaribo,Vichada,Aeródromo,4.4355,-70.6954,AGROINDUSTRIALES DEL ORIENTE,AGROINVERSIONES DEL ORIENTE S.A.S,900.0,15.0,12000.0,434.0," 5189,000",2013-09-24,nan,1A,Privado,10.0,99,99773
40,7HN,nan,ARMENIA,Paz de Ariporo,Casanare,Aeródromo,5.787,-70.1835,LUIS JOSE CALA LOPEZ,LUIS JOSE CALA LOPEZ,800.0,15.0,3000.0,380.0," 4734,000",2013-09-06,nan,1A,Privado,nan,85,85250
43,7HR,nan,RANCHO COLIBRI - CA,Roldanillo,Valle del Cauca,Aeródromo,4.4586,-76.1258,HENRY D. F. ORTIZ SILVA,HENRY D. F. ORTIZ SILVA,215.0,10.0,500.0,3083.0," 7091,000",2013-12-19,2017-01-09,1A,Privado,nan,76,76622
62,7NP,nan,EL CAIRANO,Santa Catalina,Bolívar,Aeródromo,10.7124,-75.2649,CARLOS E. GUERRERO,ENRIQUE MORALES NUÑEZ,215.0,10.0,400.0,30.0,"  998,000",2012-03-01,nan,UL,Privado,nan,13,13673
64,7NR,nan,NUEVA ROMA,Plato,Magdalena,Aeródromo,9.968,-74.3303,JORGE SOLANO RECIO,JORGE SOLANO RECIO,550.0,10.0,3000.0,462.0," 4503,000",2012-08-16,nan,1A,Privado,1.0,47,47555
