sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio,Ano
7GC,,SAN FELIPE DEL PAUTO,Trinidad,Casanare,Aeródromo,5.2032,-70.8951,AGRAS S.A.S,AGRAS S.A.S,1368.0,2.0,3000.0,3125.0," 4505,000",2012-08-16,,1A,Fumigación,412.0,85,85430,2015
7GC,,SAN FELIPE DEL PAUTO,Trinidad,Casanare,Aeródromo,5.2032,-70.8951,AGRAS S.A.S,AGRAS S.A.S,1783.0,0.0,3000.0,3125.0," 4505,000",2012-08-16,,1A,Fumigación,578.0,85,85430,2016
7GD,,VELASQUEZ,Puerto Boyacá,Boyacá,Aeródromo,5.9482,-74.4575,FAC,MANSAROVAR,1057.0,24.0,10000.0,617.0," 2135,000",2013-05-16,,3C,Aerocivil,790.0,15,15572,2014
7GD,,VELASQUEZ,Puerto Boyacá,Boyacá,Aeródromo,5.9482,-74.4575,FAC,MANSAROVAR,890.0,32.0,10000.0,617.0," 2135,000",2013-05-16,,3C,Aerocivil,733.0,15,15572,2015
7GD,,VELASQUEZ,Puerto Boyacá,Boyacá,Aeródromo,5.9482,-74.4575,FAC,MANSAROVAR,496.0,47.0,10000.0,617.0," 2135,000",2013-05-16,,3C,Público,46.0,15,15572,2016
7GE,,LUCITANIA,Orocué,Casanare,Aeródromo,4.6954,-71.589,AGROPECUARIA CRAVO SUR,AGROPECUARIA CRAVO SUR,1266.0,6.0,3000.0,443.0," 1051,000",2014-02-28,2017-03-03,1A,Aerocivil,0.0,85,85230,2014
7GE,,LUCITANIA,Orocué,Casanare,Aeródromo,4.6954,-71.589,AGROPECUARIA CRAVO SUR,AGROPECUARIA CRAVO SUR,1691.0,2.0,3000.0,443.0," 1051,000",2014-02-28,2017-03-03,1A,Fumigación,0.0,85,85230,2015
7GE,,LUCITANIA,Orocué,Casanare,Aeródromo,4.6954,-71.589,AGROPECUARIA CRAVO SUR,AGROPECUARIA CRAVO SUR,2677.0,2.0,3000.0,443.0," 1051,000",2014-02-28,2017-03-03,1A,Privado,0.0,85,85230,2016
7GF,,LA UNION,Paz de Ariporo,Casanare,Aeródromo,5.6283,-70.7032,MARTHA Y. VARGAS DE R.,GEOPARK CUERVA,757.0,14.0,3500.0,335.0," 2136,000",2013-05-16,,1A,Fumigación,48.0,85,85250,2014
7GF,,LA UNION,Paz de Ariporo,Casanare,Aeródromo,5.6283,-70.7032,MARTHA Y. VARGAS DE R.,GEOPARK CUERVA,829.0,11.0,3500.0,335.0," 2136,000",2013-05-16,,1A,Aerocivil,19.0,85,85250,2015
7GF,,LA UNION,Paz de Ariporo,Casanare,Aeródromo,5.6283,-70.7032,MARTHA Y. VARGAS DE R.,GEOPARK CUERVA,1092.0,3.0,3500.0,335.0," 2136,000",2013-05-16,,1A,Fumigación,0.0,85,85250,2016
7GG,,LA ILUSION,Maní,Casanare,Aeródromo,4.5805,-72.4282,SIGRA S.A.,SIGRA S.A.,418.0,22.0,3500.0,574.0," 1944,000",2013-05-03,2016-05-10,1A,Aerocivil,3.0,85,85139,2014
7GG,,LA ILUSION,Maní,Casanare,Aeródromo,4.5805,-72.4282,SIGRA S.A.,SIGRA S.A.,131.0,30.0,3500.0,574.0," 1944,000",2013-05-03,2016-05-10,1A,Fumigación,4.0,85,85139,2015
7GG,,LA ILUSION,Maní,Casanare,Aeródromo,4.5805,-72.4282,SIGRA S.A.,SIGRA S.A.,4.0,51.0,3500.0,574.0," 1944,000",2013-05-03,2016-05-10,1A,Público,6.0,85,85139,2016
7GH,,LA VENTUROSA,Puerto Carreño,Vichada,Aeródromo,6.1391,-68.7779,MUNICIPIO,GOBERNACION,1543.0,22.0,9500.0,246.0," 6782,000",2013-12-05,,1A,Público,41.0,99,99001,2014
7GH,,LA VENTUROSA,Puerto Carreño,Vichada,Aeródromo,6.1391,-68.7779,MUNICIPIO,GOBERNACION,1968.0,39.0,9500.0,246.0," 6782,000",2013-12-05,,1A,Público,14.0,99,99001,2015
7GH,,LA VENTUROSA,Puerto Carreño,Vichada,Aeródromo,6.1391,-68.7779,MUNICIPIO,GOBERNACION,2723.0,77.0,9500.0,246.0," 6782,000",2013-12-05,,1A,Fumigación,0.0,99,99001,2016
7GI,,GUAYABAL DEL CRAVO,Orocué,Casanare,Aeródromo,4.7223,-71.5943,KLAUS PUTH ARANGUREN,KLAUS PUTH ARANGUREN,326.0,12.0,2500.0,442.0," 3710,000",2013-07-24,2016-08-01,1A,Público,1.0,85,85230,2014
7GI,,GUAYABAL DEL CRAVO,Orocué,Casanare,Aeródromo,4.7223,-71.5943,KLAUS PUTH ARANGUREN,KLAUS PUTH ARANGUREN,89.0,20.0,2500.0,442.0," 3710,000",2013-07-24,2016-08-01,1A,Público,1.0,85,85230,2015
7GI,,GUAYABAL DEL CRAVO,Orocué,Casanare,Aeródromo,4.7223,-71.5943,KLAUS PUTH ARANGUREN,KLAUS PUTH ARANGUREN,58.0,21.0,2500.0,442.0," 3710,000",2013-07-24,2016-08-01,1A,Privado,2.0,85,85230,2016
7GK,,LAS VIOLETAS- CA,Castilla la Nueva,Meta,Aeródromo,3.8519,-73.7286,FRANCELINA CADENA,AEROCLUB DEL META,464.0,7.0,500.0,609.0," 4132,000",2010-08-19,,UL,Fumigación,0.0,50,50150,2014
7GK,,LAS VIOLETAS- CA,Castilla la Nueva,Meta,Aeródromo,3.8519,-73.7286,FRANCELINA CADENA,AEROCLUB DEL META,539.0,7.0,500.0,609.0," 4132,000",2010-08-19,,UL,Fumigación,0.0,50,50150,2015
7GK,,LAS VIOLETAS- CA,Castilla la Nueva,Meta,Aeródromo,3.8519,-73.7286,FRANCELINA CADENA,AEROCLUB DEL META,921.0,7.0,500.0,609.0," 4132,000",2010-08-19,,UL,Privado,0.0,50,50150,2016
7GL,,LA JAGUA,La Jagua de Ibirico,Cesar,Aeródromo,9.5905,-73.2886,CARBONES DE LA JAGUA S.A.,CARBO. DE LA JAGUA S.A.,842.0,17.0,7500.0,787.0,"  171,000",2015-01-27,2018-02-06,2A,Fumigación,1070.0,20,20400,2015
7GL,,LA JAGUA,La Jagua de Ibirico,Cesar,Aeródromo,9.5905,-73.2886,CARBONES DE LA JAGUA S.A.,CARBO. DE LA JAGUA S.A.,564.0,15.0,7500.0,787.0,"  171,000",2015-01-27,2018-02-06,2A,Público,1070.0,20,20400,2016
7GN,,LOS MANGOS,Ayapel,Córdoba,Aeródromo,8.2956,-75.0987,MANUEL LOPEZ ORTEGA,MANUEL LOPEZ ORTEGA,179.0,12.0,500.0,90.0," 5190,000",2013-09-24,,UL,Aerocivil,0.0,23,23068,2014
7GN,,LOS MANGOS,Ayapel,Córdoba,Aeródromo,8.2956,-75.0987,MANUEL LOPEZ ORTEGA,MANUEL LOPEZ ORTEGA,122.0,22.0,500.0,90.0," 5190,000",2013-09-24,,UL,Fumigación,0.0,23,23068,2015
7GN,,LOS MANGOS,Ayapel,Córdoba,Aeródromo,8.2956,-75.0987,MANUEL LOPEZ ORTEGA,MANUEL LOPEZ ORTEGA,82.0,40.0,500.0,90.0," 5190,000",2013-09-24,,UL,Público,0.0,23,23068,2016
7GO,,MATABRAVA,San Luis de Palenque,Casanare,Aeródromo,5.2132,-71.6915,FRANCISCA REYES DIAZ,FRANCISCA REYES DIAZ,561.0,11.0,2000.0,524.0," 5966,000",2014-12-15,,1A,Fumigación,1.0,85,85325,2014
7GO,,MATABRAVA,San Luis de Palenque,Casanare,Aeródromo,5.2132,-71.6915,FRANCISCA REYES DIAZ,FRANCISCA REYES DIAZ,35.0,14.0,2000.0,524.0," 5966,000",2014-12-15,,1A,Fumigación,1.0,85,85325,2015
7GO,,MATABRAVA,San Luis de Palenque,Casanare,Aeródromo,5.2132,-71.6915,FRANCISCA REYES DIAZ,FRANCISCA REYES DIAZ,31.0,15.0,2000.0,524.0," 5966,000",2014-12-15,,1A,Público,1.0,85,85325,2016
7GP,,EL PORVENIR - CA,Pijiño del Carmen,Magdalena,Aeródromo,9.491,-74.1909,LA CEIBA S.A.,LA CEIBA S.A.,280.0,17.0,500.0,176.0,"  236,000",2014-01-21,,UL,Fumigación,0.0,47,47545,2014
7GP,,EL PORVENIR - CA,Pijiño del Carmen,Magdalena,Aeródromo,9.491,-74.1909,LA CEIBA S.A.,LA CEIBA S.A.,68.0,22.0,500.0,176.0,"  236,000",2014-01-21,,UL,Aerocivil,0.0,47,47545,2015
7GP,,EL PORVENIR - CA,Pijiño del Carmen,Magdalena,Aeródromo,9.491,-74.1909,LA CEIBA S.A.,LA CEIBA S.A.,25.0,36.0,500.0,176.0,"  236,000",2014-01-21,,UL,Público,0.0,47,47545,2016
7GQ,,LA PROVINCIA,Paz de Ariporo,Casanare,Aeródromo,5.6918,-70.11,CARLOS H. MONTENEGRO,CARLOS H. MONTENEGRO,592.0,14.0,2500.0,430.0,"  399,000",2014-01-31,,1A,Aerocivil,0.0,85,85250,2014
7GQ,,LA PROVINCIA,Paz de Ariporo,Casanare,Aeródromo,5.6918,-70.11,CARLOS H. MONTENEGRO,CARLOS H. MONTENEGRO,46.0,10.0,2500.0,430.0,"  399,000",2014-01-31,,1A,Aerocivil,0.0,85,85250,2015
7GQ,,LA PROVINCIA,Paz de Ariporo,Casanare,Aeródromo,5.6918,-70.11,CARLOS H. MONTENEGRO,CARLOS H. MONTENEGRO,37.0,7.0,2500.0,430.0,"  399,000",2014-01-31,,1A,Público,0.0,85,85250,2016
7GS,,EL ENCANTO,Cumaribo,Vichada,Aeródromo,4.6934,-70.9078,JUAN AQUILINO PEREZ P.,EL ENCANTO 1 S.A.S.,792.0,10.0,5000.0,544.0," 5964,000",2014-12-15,,1A,Fumigación,376.0,99,99773,2014
7GS,,EL ENCANTO,Cumaribo,Vichada,Aeródromo,4.6934,-70.9078,JUAN AQUILINO PEREZ P.,EL ENCANTO 1 S.A.S.,442.0,3.0,5000.0,544.0," 5964,000",2014-12-15,,1A,Fumigación,376.0,99,99773,2015
7GS,,EL ENCANTO,Cumaribo,Vichada,Aeródromo,4.6934,-70.9078,JUAN AQUILINO PEREZ P.,EL ENCANTO 1 S.A.S.,253.0,1.0,5000.0,544.0," 5964,000",2014-12-15,,1A,Público,376.0,99,99773,2016
7GU,,HATO GARIBAY,Maní,Casanare,Aeródromo,4.4656,-72.3273,AGROPECUARIA LA TAGUA,ROBERTO HERRERA OBREGON,739.0,18.0,5500.0,482.0," 4212,000",2014-08-06,,1A,Fumigación,0.0,85,85139,2014
7GU,,HATO GARIBAY,Maní,Casanare,Aeródromo,4.4656,-72.3273,AGROPECUARIA LA TAGUA,ROBERTO HERRERA OBREGON,368.0,35.0,5500.0,482.0," 4212,000",2014-08-06,,1A,Público,0.0,85,85139,2015
7GU,,HATO GARIBAY,Maní,Casanare,Aeródromo,4.4656,-72.3273,AGROPECUARIA LA TAGUA,ROBERTO HERRERA OBREGON,331.0,35.0,5500.0,482.0," 4212,000",2014-08-06,,1A,Privado,0.0,85,85139,2016
7GV,,REPRESA DE LAS CANARIAS,Paz de Ariporo,Casanare,Aeródromo,5.7658,-71.2503,OLGA BRAVO DE CANTOR,OLGA BRAVO DE CANTOR,12.0,6.0,3500.0,652.0," 5236,000",2014-10-14,2017-12-01,1A,Privado,6.0,85,85250,2014
7GV,,REPRESA DE LAS CANARIAS,Paz de Ariporo,Casanare,Aeródromo,5.7658,-71.2503,OLGA BRAVO DE CANTOR,OLGA BRAVO DE CANTOR,1.0,5.0,3500.0,652.0," 5236,000",2014-10-14,2017-12-01,1A,Público,6.0,85,85250,2015
7GV,,REPRESA DE LAS CANARIAS,Paz de Ariporo,Casanare,Aeródromo,5.7658,-71.2503,OLGA BRAVO DE CANTOR,OLGA BRAVO DE CANTOR,0.0,2.0,3500.0,652.0," 5236,000",2014-10-14,2017-12-01,1A,Público,6.0,85,85250,2016
7GX,,LA ATARRAYA - CA.,Ayapel,Córdoba,Aeródromo,8.2857,-75.0963,FELIPE BRAVO BOTERO,FELIPE BRAVO BOTERO,82.0,18.0,500.0,91.0," 5714,000",2014-11-25,,UL,Privado,0.0,23,23068,2014
7GX,,LA ATARRAYA - CA.,Ayapel,Córdoba,Aeródromo,8.2857,-75.0963,FELIPE BRAVO BOTERO,FELIPE BRAVO BOTERO,57.0,34.0,500.0,91.0," 5714,000",2014-11-25,,UL,Público,0.0,23,23068,2015
7GX,,LA ATARRAYA - CA.,Ayapel,Córdoba,Aeródromo,8.2857,-75.0963,FELIPE BRAVO BOTERO,FELIPE BRAVO BOTERO,5.0,49.0,500.0,91.0," 5714,000",2014-11-25,,UL,Público,0.0,23,23068,2016
7GY,,LAS ACACIAS,Nemocón,Cundinamarca,Aeródromo,5.0949,-73.9054,JUAN BERNANDO SANINT G,EL MISMO,1345.0,17.0,10000.0,8431.0,"  439,000",2015-02-27,2018-03-05,3A,Fumigación,0.0,25,25486,2015
7GY,,LAS ACACIAS,Nemocón,Cundinamarca,Aeródromo,5.0949,-73.9054,JUAN BERNANDO SANINT G,EL MISMO,1289.0,14.0,10000.0,8431.0,"  439,000",2015-02-27,2018-03-05,3A,Público,0.0,25,25486,2016
7GZ,,COROZITO,Maní,Casanare,Aeródromo,4.6701,-72.0994,INVERSIONES LA PALMERA DE COROZITO,INV.LA PALMERA DE COROZITO,995.0,9.0,,497.0,"  832,000",2015-04-14,,2A,Fumigación,161.0,85,85139,2015
7GZ,,COROZITO,Maní,Casanare,Aeródromo,4.6701,-72.0994,INVERSIONES LA PALMERA DE COROZITO,INV.LA PALMERA DE COROZITO,37.0,9.0,,497.0,"  832,000",2015-04-14,,2A,Público,161.0,85,85139,2016
7HA,,EL CONDOR,Flandes,Tolima,Aeródromo,4.2595,-74.8308,AEROTURBO DE COLOMBIA,LUIS FDO. BARRETO CAVIEDES,235.0,0.0,500.0,992.0," 5730,000",2012-10-09,2015-12-03,UL,Aerocivil,0.0,73,73275,2014
7HA,,EL CONDOR,Flandes,Tolima,Aeródromo,4.2595,-74.8308,AEROTURBO DE COLOMBIA,LUIS FDO. BARRETO CAVIEDES,11.0,0.0,500.0,992.0," 5730,000",2012-10-09,2015-12-03,UL,Aerocivil,0.0,73,73275,2015
7HA,,EL CONDOR,Flandes,Tolima,Aeródromo,4.2595,-74.8308,AEROTURBO DE COLOMBIA,LUIS FDO. BARRETO CAVIEDES,8.0,0.0,500.0,992.0," 5730,000",2012-10-09,2015-12-03,UL,Fumigación,0.0,73,73275,2016
7HB,,HOTEL SAN DIEGO,Puerto Gaitán,Meta,Aeródromo,3.7693,-71.8179,MADYGAN S.A.S.,MADYGAN S.A.S.,440.0,4.0,4000.0,725.0," 6730,000",2012-11-26,2015-12-03,2A,Privado,150.0,50,50568,2014
7HB,,HOTEL SAN DIEGO,Puerto Gaitán,Meta,Aeródromo,3.7693,-71.8179,MADYGAN S.A.S.,MADYGAN S.A.S.,7.0,4.0,4000.0,725.0," 6730,000",2012-11-26,2015-12-03,2A,Aerocivil,209.0,50,50568,2015
7HB,,HOTEL SAN DIEGO,Puerto Gaitán,Meta,Aeródromo,3.7693,-71.8179,MADYGAN S.A.S.,MADYGAN S.A.S.,4.0,4.0,4000.0,725.0," 6730,000",2012-11-26,2015-12-03,2A,Privado,301.0,50,50568,2016
7HC,,EL CAFUCHE,La Primavera,Vichada,Aeródromo,5.3152,-70.0184,ANDRES CARVAJAL MOLINA,ANDRES CARVAJAL MOLINA,917.0,17.0,4000.0,384.0," 3826,000",2013-07-30,2016-08-01,1A,Aerocivil,1.0,99,99524,2014
7HC,,EL CAFUCHE,La Primavera,Vichada,Aeródromo,5.3152,-70.0184,ANDRES CARVAJAL MOLINA,ANDRES CARVAJAL MOLINA,1632.0,10.0,4000.0,384.0," 3826,000",2013-07-30,2016-08-01,1A,Fumigación,1.0,99,99524,2015
7HC,,EL CAFUCHE,La Primavera,Vichada,Aeródromo,5.3152,-70.0184,ANDRES CARVAJAL MOLINA,ANDRES CARVAJAL MOLINA,2098.0,8.0,4000.0,384.0," 3826,000",2013-07-30,2016-08-01,1A,Fumigación,2.0,99,99524,2016
7HD,,BOSQUES DE LA PRIMAVERA,La Primavera,Vichada,Aeródromo,5.3489,-69.7467,MARIA A. RIVERA AGUDELO,MARIA A. RIVERA AGUDELO,1305.0,24.0,3000.0,396.0," 1444,000",2015-06-17,,1A,Público,0.0,99,99524,2015
7HD,,BOSQUES DE LA PRIMAVERA,La Primavera,Vichada,Aeródromo,5.3489,-69.7467,MARIA A. RIVERA AGUDELO,MARIA A. RIVERA AGUDELO,1426.0,44.0,3000.0,396.0," 1444,000",2015-06-17,,1A,Fumigación,0.0,99,99524,2016
7HE,,GUACHARACAS (COLOMBAIMA),Beltrán,Cundinamarca,Aeródromo,4.7371,-74.8021,EMPRESA GUACHARACAS,CCA. LTDA,28.0,10.0,3000.0,797.0," 5920,000",2012-10-19,,1A,Aerocivil,0.0,25,25086,2014
7HE,,GUACHARACAS (COLOMBAIMA),Beltrán,Cundinamarca,Aeródromo,4.7371,-74.8021,EMPRESA GUACHARACAS,CCA. LTDA,27.0,0.0,3000.0,797.0," 5920,000",2012-10-19,,1A,Aerocivil,0.0,25,25086,2015
7HE,,GUACHARACAS (COLOMBAIMA),Beltrán,Cundinamarca,Aeródromo,4.7371,-74.8021,EMPRESA GUACHARACAS,CCA. LTDA,3.0,0.0,3000.0,797.0," 5920,000",2012-10-19,,1A,Aerocivil,0.0,25,25086,2016
7HF,,GAVILAN DE LA PASCUA,La Primavera,Vichada,Aeródromo,5.1166,-70.3806,RESGUARDO INDIGENA ORIPGA,RES. INDIGENA ORIPGA,312.0,25.0,3500.0,419.0," 7257,000",2012-12-20,,1A,Aerocivil,45.0,99,99524,2014
7HF,,GAVILAN DE LA PASCUA,La Primavera,Vichada,Aeródromo,5.1166,-70.3806,RESGUARDO INDIGENA ORIPGA,RES. INDIGENA ORIPGA,16.0,35.0,3500.0,419.0," 7257,000",2012-12-20,,1A,Aerocivil,45.0,99,99524,2015
7HF,,GAVILAN DE LA PASCUA,La Primavera,Vichada,Aeródromo,5.1166,-70.3806,RESGUARDO INDIGENA ORIPGA,RES. INDIGENA ORIPGA,10.0,44.0,3500.0,419.0," 7257,000",2012-12-20,,1A,Aerocivil,28.0,99,99524,2016
7HG,,DOROTEA B1,Paz de Ariporo,Casanare,Aeródromo,5.5122,-71.0248,NEW GRANADA ENERGY,NEW GRANADA ENERGY,85.0,3.0,,404.0," 2362,000",2013-05-27,,2A,Fumigación,428.0,85,85250,2014
7HG,,DOROTEA B1,Paz de Ariporo,Casanare,Aeródromo,5.5122,-71.0248,NEW GRANADA ENERGY,NEW GRANADA ENERGY,11.0,2.0,,404.0," 2362,000",2013-05-27,,2A,Público,239.0,85,85250,2015
7HG,,DOROTEA B1,Paz de Ariporo,Casanare,Aeródromo,5.5122,-71.0248,NEW GRANADA ENERGY,NEW GRANADA ENERGY,1.0,1.0,,404.0," 2362,000",2013-05-27,,2A,Público,61.0,85,85250,2016
7HH,,HORIZONTES,Piedecuesta,Santander,Aeródromo,7.0017,-73.1037,DESARROLLOS METROPOLITANOS,DESARROLLOS METROPOLITANOS,810.0,5.0,3500.0,4195.0," 5186,000",2013-09-24,,1A,Privado,0.0,68,68547,2014
7HH,,HORIZONTES,Piedecuesta,Santander,Aeródromo,7.0017,-73.1037,DESARROLLOS METROPOLITANOS,DESARROLLOS METROPOLITANOS,949.0,1.0,3500.0,4195.0," 5186,000",2013-09-24,,1A,Privado,0.0,68,68547,2015
7HH,,HORIZONTES,Piedecuesta,Santander,Aeródromo,7.0017,-73.1037,DESARROLLOS METROPOLITANOS,DESARROLLOS METROPOLITANOS,1439.0,0.0,3500.0,4195.0," 5186,000",2013-09-24,,1A,Público,0.0,68,68547,2016
7HJ,,MACOLLA,Maní,Casanare,Aeródromo,4.7713,-72.0714,GRAMERCY S.A.S.,AGROPECUARIA CACOLLA S.A.S.,694.0,13.0,5000.0,548.0," 2134,000",2013-05-16,,1A,Fumigación,6.0,85,85139,2014
7HJ,,MACOLLA,Maní,Casanare,Aeródromo,4.7713,-72.0714,GRAMERCY S.A.S.,AGROPECUARIA CACOLLA S.A.S.,386.0,0.0,5000.0,548.0," 2134,000",2013-05-16,,1A,Aerocivil,2.0,85,85139,2015
7HJ,,MACOLLA,Maní,Casanare,Aeródromo,4.7713,-72.0714,GRAMERCY S.A.S.,AGROPECUARIA CACOLLA S.A.S.,211.0,0.0,5000.0,548.0," 2134,000",2013-05-16,,1A,Fumigación,1.0,85,85139,2016
7HK,,MULETOS- CA,Maní,Casanare,Aeródromo,4.5549,-72.1753,MULETOS S.A.S.,MULETOS S.A.S.,589.0,3.0,500.0,790.0," 2142,000",2013-05-16,,UL,Aerocivil,0.0,85,85139,2014
7HK,,MULETOS- CA,Maní,Casanare,Aeródromo,4.5549,-72.1753,MULETOS S.A.S.,MULETOS S.A.S.,822.0,2.0,500.0,790.0," 2142,000",2013-05-16,,UL,Privado,0.0,85,85139,2015
7HK,,MULETOS- CA,Maní,Casanare,Aeródromo,4.5549,-72.1753,MULETOS S.A.S.,MULETOS S.A.S.,1038.0,0.0,500.0,790.0," 2142,000",2013-05-16,,UL,Aerocivil,0.0,85,85139,2016
