SupplierTransactionID,SupplierID,TransactionTypeID,PurchaseOrderID,PaymentMethodID,SupplierInvoiceNumber,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized,LastEditedBy,LastEditedWhen
1426,7,7,NULL,4,NULL,2013-01-07,0.00,0.00,-88448.71,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1427,10,7,NULL,4,NULL,2013-01-07,0.00,0.00,-66613.77,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1428,12,7,NULL,4,NULL,2013-01-07,0.00,0.00,-55710.61,0.00,2013-01-07,1,4,2013-01-07 09:00:00.0000000
1873,4,5,26,4,2648,2013-01-08,1436.00,215.40,1651.40,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
1880,5,5,27,4,7934,2013-01-08,832.50,124.89,957.39,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
1882,7,5,28,4,359,2013-01-08,2380.00,357.00,2737.00,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
1884,10,5,29,4,7757,2013-01-08,1037.50,155.63,1193.13,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
1887,12,5,30,4,6742,2013-01-08,2376.00,356.40,2732.40,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
2087,7,5,31,4,2794,2013-01-09,10940.00,1641.00,12581.00,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
2351,4,5,32,4,2279,2013-01-10,168.00,25.20,193.20,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
2353,5,5,33,4,5876,2013-01-10,126.00,18.90,144.90,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
2356,7,5,34,4,1910,2013-01-10,10600.00,1590.00,12190.00,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
2358,10,5,35,4,5538,2013-01-10,8525.00,1278.75,9803.75,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
2719,4,5,36,4,1677,2013-01-11,1242.00,186.30,1428.30,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
2721,5,5,37,4,8004,2013-01-11,144.00,21.60,165.60,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
2723,7,5,38,4,9443,2013-01-11,510.00,76.50,586.50,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
3236,4,5,39,4,1097,2013-01-14,2646.00,396.90,3042.90,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
3241,5,5,40,4,691,2013-01-14,553.50,83.03,636.53,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
3244,4,5,41,4,5086,2013-01-14,1110.00,166.50,1276.50,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
3246,7,5,42,4,4017,2013-01-14,1530.00,229.50,1759.50,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
3247,4,7,NULL,4,NULL,2013-01-14,0.00,0.00,-7592.30,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
3248,5,7,NULL,4,NULL,2013-01-14,0.00,0.00,-1904.42,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
3249,7,7,NULL,4,NULL,2013-01-14,0.00,0.00,-29854.00,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
3250,10,7,NULL,4,NULL,2013-01-14,0.00,0.00,-10996.88,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
3251,12,7,NULL,4,NULL,2013-01-14,0.00,0.00,-2732.40,0.00,2013-01-14,1,5,2013-01-14 09:00:00.0000000
3574,4,5,43,4,9295,2013-01-15,3648.00,547.20,4195.20,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
3576,5,5,44,4,3601,2013-01-15,148.50,22.28,170.78,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
3578,7,5,45,4,1718,2013-01-15,170.00,25.50,195.50,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
3580,10,5,46,4,2921,2013-01-15,1150.00,172.50,1322.50,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4017,4,5,47,4,9303,2013-01-16,7494.00,1124.10,8618.10,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4020,5,5,48,4,1850,2013-01-16,297.00,44.56,341.56,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4022,10,5,49,4,5212,2013-01-16,1364.00,204.60,1568.60,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4221,4,5,50,4,3650,2013-01-17,6162.00,924.30,7086.30,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4467,4,5,51,4,2677,2013-01-18,7590.00,1138.50,8728.50,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4978,4,5,52,4,7211,2013-01-21,9702.00,1455.30,11157.30,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4980,5,5,53,4,2427,2013-01-21,144.00,21.60,165.60,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4982,4,5,54,4,2363,2013-01-21,756.00,113.40,869.40,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4984,5,5,55,4,9348,2013-01-21,139.50,20.93,160.43,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4985,4,7,NULL,4,NULL,2013-01-21,0.00,0.00,-40654.80,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4986,5,7,NULL,4,NULL,2013-01-21,0.00,0.00,-838.37,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4987,7,7,NULL,4,NULL,2013-01-21,0.00,0.00,-195.50,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
4988,10,7,NULL,4,NULL,2013-01-21,0.00,0.00,-2891.10,0.00,2013-01-21,1,18,2013-01-21 09:00:00.0000000
5163,4,5,56,4,4752,2013-01-22,8382.00,1257.30,9639.30,0.00,2013-01-28,1,17,2013-01-28 09:00:00.0000000
5379,4,5,57,4,1044,2013-01-23,8850.00,1327.50,10177.50,0.00,2013-01-28,1,17,2013-01-28 09:00:00.0000000
5695,4,5,58,4,13,2013-01-24,11514.00,1727.10,13241.10,0.00,2013-01-28,1,17,2013-01-28 09:00:00.0000000
5892,4,5,59,4,1165,2013-01-25,14358.00,2153.70,16511.70,0.00,2013-01-28,1,17,2013-01-28 09:00:00.0000000
6448,4,5,60,4,5931,2013-01-28,14358.00,2153.70,16511.70,0.00,2013-01-28,1,17,2013-01-28 09:00:00.0000000
6452,4,5,61,4,8510,2013-01-28,2448.00,367.20,2815.20,0.00,2013-01-28,1,17,2013-01-28 09:00:00.0000000
6454,10,5,62,4,4482,2013-01-28,8815.00,1322.25,10137.25,0.00,2013-01-28,1,17,2013-01-28 09:00:00.0000000
6455,4,7,NULL,4,NULL,2013-01-28,0.00,0.00,-68896.50,0.00,2013-01-28,1,17,2013-01-28 09:00:00.0000000
6456,10,7,NULL,4,NULL,2013-01-28,0.00,0.00,-10137.25,0.00,2013-01-28,1,17,2013-01-28 09:00:00.0000000
6738,4,5,63,4,5200,2013-01-29,16410.00,2461.50,18871.50,0.00,2013-02-04,1,6,2013-02-04 09:00:00.0000000
6740,7,5,64,4,2590,2013-01-29,1020.00,153.00,1173.00,0.00,2013-02-04,1,6,2013-02-04 09:00:00.0000000
7129,4,5,65,4,7448,2013-01-30,19830.00,2974.50,22804.50,0.00,2013-02-04,1,6,2013-02-04 09:00:00.0000000
7131,7,5,66,4,7195,2013-01-30,340.00,51.00,391.00,0.00,2013-02-04,1,6,2013-02-04 09:00:00.0000000
7503,4,5,67,4,582,2013-01-31,20514.00,3077.10,23591.10,0.00,2013-02-04,1,6,2013-02-04 09:00:00.0000000
7836,4,5,68,4,9112,2013-02-01,22434.00,3365.10,25799.10,0.00,2013-02-04,1,6,2013-02-04 09:00:00.0000000
8357,4,5,69,4,6311,2013-02-04,25014.00,3752.10,28766.10,0.00,2013-02-04,1,6,2013-02-04 09:00:00.0000000
8362,4,5,70,4,3585,2013-02-04,2244.00,336.60,2580.60,0.00,2013-02-04,1,6,2013-02-04 09:00:00.0000000
8363,4,7,NULL,4,NULL,2013-02-04,0.00,0.00,-122412.90,0.00,2013-02-04,1,6,2013-02-04 09:00:00.0000000
8364,7,7,NULL,4,NULL,2013-02-04,0.00,0.00,-1564.00,0.00,2013-02-04,1,6,2013-02-04 09:00:00.0000000
8623,4,5,71,4,7488,2013-02-05,26550.00,3982.50,30532.50,0.00,2013-02-11,1,19,2013-02-11 09:00:00.0000000
8814,4,5,72,4,4979,2013-02-06,26790.00,4018.50,30808.50,0.00,2013-02-11,1,19,2013-02-11 09:00:00.0000000
9009,4,5,73,4,2141,2013-02-07,26826.00,4023.90,30849.90,0.00,2013-02-11,1,19,2013-02-11 09:00:00.0000000
9181,4,5,74,4,9898,2013-02-08,26310.00,3946.50,30256.50,0.00,2013-02-11,1,19,2013-02-11 09:00:00.0000000
9699,4,5,75,4,496,2013-02-11,26022.00,3903.30,29925.30,0.00,2013-02-11,1,19,2013-02-11 09:00:00.0000000
9703,4,5,76,4,8384,2013-02-11,3804.00,570.60,4374.60,0.00,2013-02-11,1,19,2013-02-11 09:00:00.0000000
9704,4,7,NULL,4,NULL,2013-02-11,0.00,0.00,-156747.30,0.00,2013-02-11,1,19,2013-02-11 09:00:00.0000000
10029,4,5,77,4,2733,2013-02-12,29970.00,4495.50,34465.50,0.00,2013-02-18,1,10,2013-02-18 09:00:00.0000000
10193,4,5,78,4,4085,2013-02-13,31302.00,4695.30,35997.30,0.00,2013-02-18,1,10,2013-02-18 09:00:00.0000000
10370,4,5,79,4,4936,2013-02-14,33042.00,4956.30,37998.30,0.00,2013-02-18,1,10,2013-02-18 09:00:00.0000000
10372,7,5,80,4,3363,2013-02-14,1190.00,178.50,1368.50,0.00,2013-02-18,1,10,2013-02-18 09:00:00.0000000
10634,4,5,81,4,7232,2013-02-15,36678.00,5501.70,42179.70,0.00,2013-02-18,1,10,2013-02-18 09:00:00.0000000
10636,7,5,82,4,6588,2013-02-15,2040.00,306.00,2346.00,0.00,2013-02-18,1,10,2013-02-18 09:00:00.0000000
11047,4,5,83,4,3866,2013-02-18,36066.00,5409.90,41475.90,0.00,2013-02-18,1,10,2013-02-18 09:00:00.0000000
11049,7,5,84,4,1117,2013-02-18,1360.00,204.00,1564.00,0.00,2013-02-18,1,10,2013-02-18 09:00:00.0000000
11053,4,5,85,4,6329,2013-02-18,1440.00,216.00,1656.00,0.00,2013-02-18,1,10,2013-02-18 09:00:00.0000000
11054,4,7,NULL,4,NULL,2013-02-18,0.00,0.00,-193772.70,0.00,2013-02-18,1,10,2013-02-18 09:00:00.0000000
11055,7,7,NULL,4,NULL,2013-02-18,0.00,0.00,-5278.50,0.00,2013-02-18,1,10,2013-02-18 09:00:00.0000000
11269,4,5,86,4,3252,2013-02-19,37590.00,5638.50,43228.50,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
11271,7,5,87,4,5623,2013-02-19,2210.00,331.50,2541.50,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
11524,4,5,88,4,8265,2013-02-20,37602.00,5640.30,43242.30,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
11526,7,5,89,4,1892,2013-02-20,2550.00,382.50,2932.50,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
11819,4,5,90,4,3951,2013-02-21,38868.00,5830.20,44698.20,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
11821,7,5,91,4,9767,2013-02-21,3230.00,484.50,3714.50,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
12008,4,5,92,4,5049,2013-02-22,37452.00,5617.80,43069.80,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
12010,7,5,93,4,6105,2013-02-22,2550.00,382.50,2932.50,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
12440,4,5,94,4,8331,2013-02-25,37212.00,5581.80,42793.80,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
12442,7,5,95,4,9031,2013-02-25,4080.00,612.00,4692.00,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
12446,4,5,96,4,149,2013-02-25,2052.00,307.80,2359.80,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
12448,7,5,97,4,6779,2013-02-25,1700.00,255.00,1955.00,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
12449,4,7,NULL,4,NULL,2013-02-25,0.00,0.00,-219392.40,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
12450,7,7,NULL,4,NULL,2013-02-25,0.00,0.00,-18768.00,0.00,2013-02-25,1,4,2013-02-25 09:00:00.0000000
12611,4,5,98,4,8792,2013-02-26,36432.00,5464.80,41896.80,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
12613,7,5,99,4,1663,2013-02-26,4420.00,663.00,5083.00,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
12881,4,5,100,4,5762,2013-02-27,36552.00,5482.80,42034.80,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
12883,7,5,101,4,2466,2013-02-27,3740.00,561.00,4301.00,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
13077,4,5,102,4,8862,2013-02-28,36000.00,5400.00,41400.00,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
13079,7,5,103,4,4111,2013-02-28,4420.00,663.00,5083.00,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
13277,4,5,104,4,6083,2013-03-01,36324.00,5448.60,41772.60,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
13279,7,5,105,4,9846,2013-03-01,3740.00,561.00,4301.00,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
13834,4,5,106,4,845,2013-03-04,38472.00,5770.80,44242.80,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
13836,7,5,107,4,9908,2013-03-04,3910.00,586.50,4496.50,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
13842,4,5,108,4,6244,2013-03-04,2664.00,399.60,3063.60,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
13843,4,7,NULL,4,NULL,2013-03-04,0.00,0.00,-214410.60,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
13844,7,7,NULL,4,NULL,2013-03-04,0.00,0.00,-23264.50,0.00,2013-03-04,1,14,2013-03-04 09:00:00.0000000
14211,4,5,109,4,2164,2013-03-05,43866.00,6579.90,50445.90,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
14213,7,5,110,4,3906,2013-03-05,4760.00,714.00,5474.00,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
14459,4,5,111,4,6582,2013-03-06,43848.00,6577.20,50425.20,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
14461,7,5,112,4,5501,2013-03-06,4080.00,612.00,4692.00,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
14878,4,5,113,4,8640,2013-03-07,43740.00,6561.00,50301.00,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
14880,7,5,114,4,2764,2013-03-07,4760.00,714.00,5474.00,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
15277,4,5,115,4,635,2013-03-08,46392.00,6958.80,53350.80,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
15279,7,5,116,4,10,2013-03-08,4930.00,739.50,5669.50,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
15861,4,5,117,4,3769,2013-03-11,45744.00,6861.60,52605.60,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
15863,7,5,118,4,9407,2013-03-11,5440.00,816.00,6256.00,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
15865,4,5,119,4,3489,2013-03-11,672.00,100.80,772.80,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
15866,4,7,NULL,4,NULL,2013-03-11,0.00,0.00,-257901.30,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
15867,7,7,NULL,4,NULL,2013-03-11,0.00,0.00,-27565.50,0.00,2013-03-11,1,17,2013-03-11 09:00:00.0000000
16202,4,5,120,4,1393,2013-03-12,47754.00,7163.10,54917.10,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
16204,7,5,121,4,8136,2013-03-12,5440.00,816.00,6256.00,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
16596,4,5,122,4,2145,2013-03-13,49662.00,7449.30,57111.30,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
16598,7,5,123,4,3431,2013-03-13,4760.00,714.00,5474.00,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
16891,4,5,124,4,1725,2013-03-14,49566.00,7434.90,57000.90,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
16893,7,5,125,4,796,2013-03-14,6630.00,994.50,7624.50,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
17288,4,5,126,4,5081,2013-03-15,54282.00,8142.30,62424.30,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
17290,7,5,127,4,1536,2013-03-15,5950.00,892.50,6842.50,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
17848,4,5,128,4,3465,2013-03-18,56208.00,8431.20,64639.20,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
17851,7,5,129,4,6381,2013-03-18,5346.80,802.02,6148.82,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
17857,4,5,130,4,595,2013-03-18,4524.00,678.60,5202.60,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
17858,4,7,NULL,4,NULL,2013-03-18,0.00,0.00,-301295.40,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
17859,7,7,NULL,4,NULL,2013-03-18,0.00,0.00,-32345.82,0.00,2013-03-18,1,19,2013-03-18 09:00:00.0000000
18039,4,5,131,4,5638,2013-03-19,59790.00,8968.50,68758.50,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
18041,7,5,132,4,4145,2013-03-19,5100.00,765.00,5865.00,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
18427,4,5,133,4,184,2013-03-20,62742.00,9411.30,72153.30,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
18430,7,5,134,4,1351,2013-03-20,5259.20,788.88,6048.08,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
18797,4,5,135,4,8521,2013-03-21,64620.00,9693.00,74313.00,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
18800,7,5,136,4,6501,2013-03-21,4809.60,721.44,5531.04,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
19195,4,5,137,4,6090,2013-03-22,67464.00,10119.60,77583.60,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
19198,7,5,138,4,7535,2013-03-22,7765.60,1164.84,8930.44,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
19667,4,5,139,4,4037,2013-03-25,70686.00,10602.90,81288.90,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
19670,7,5,140,4,368,2013-03-25,7650.40,1147.56,8797.96,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
19672,7,5,141,4,7669,2013-03-25,170.00,25.50,195.50,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
19673,4,7,NULL,4,NULL,2013-03-25,0.00,0.00,-374097.30,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
19674,7,7,NULL,4,NULL,2013-03-25,0.00,0.00,-35368.02,0.00,2013-03-25,1,4,2013-03-25 09:00:00.0000000
19972,4,5,142,4,1256,2013-03-26,70542.00,10581.30,81123.30,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
19975,7,5,143,4,1641,2013-03-26,7590.00,1138.50,8728.50,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
20181,4,5,144,4,9638,2013-03-27,70890.00,10633.50,81523.50,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
20184,7,5,145,4,2264,2013-03-27,7063.60,1059.54,8123.14,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
20583,4,5,146,4,3934,2013-03-28,71202.00,10680.30,81882.30,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
20586,7,5,147,4,7287,2013-03-28,8522.40,1278.36,9800.76,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
20767,4,5,148,4,8477,2013-03-29,71046.00,10656.90,81702.90,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
20770,7,5,149,4,2327,2013-03-29,7688.80,1153.32,8842.12,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
21065,4,5,150,4,4803,2013-04-01,69630.00,10444.50,80074.50,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
21068,7,5,151,4,4468,2013-04-01,8599.20,1289.88,9889.08,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
21073,4,5,152,4,6299,2013-04-01,2952.00,442.80,3394.80,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
21074,4,7,NULL,4,NULL,2013-04-01,0.00,0.00,-409701.30,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
21075,7,7,NULL,4,NULL,2013-04-01,0.00,0.00,-45383.60,0.00,2013-04-01,1,17,2013-04-01 09:00:00.0000000
21470,4,5,153,4,8940,2013-04-02,72426.00,10863.90,83289.90,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
21473,7,5,154,4,3874,2013-04-02,9986.80,1498.02,11484.82,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
21757,4,5,155,4,873,2013-04-03,73110.00,10966.50,84076.50,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
21760,7,5,156,4,7948,2013-04-03,10387.20,1558.08,11945.28,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
22020,4,5,157,4,4746,2013-04-04,74460.00,11169.00,85629.00,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
22023,7,5,158,4,1433,2013-04-04,10409.20,1561.38,11970.58,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
22409,4,5,159,4,9995,2013-04-05,76524.00,11478.60,88002.60,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
22412,7,5,160,4,2430,2013-04-05,11072.80,1660.92,12733.72,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
22931,4,5,161,4,5240,2013-04-08,79524.00,11928.60,91452.60,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
22934,7,5,162,4,1691,2013-04-08,12109.20,1816.38,13925.58,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
22937,4,5,163,4,743,2013-04-08,912.00,136.80,1048.80,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
22939,7,5,164,4,4720,2013-04-08,1020.00,153.00,1173.00,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
22940,4,7,NULL,4,NULL,2013-04-08,0.00,0.00,-433499.40,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
22941,7,7,NULL,4,NULL,2013-04-08,0.00,0.00,-63232.98,0.00,2013-04-08,1,2,2013-04-08 09:00:00.0000000
23163,4,5,165,4,4497,2013-04-09,81786.00,12267.90,94053.90,0.00,2013-04-15,1,4,2013-04-15 09:00:00.0000000
23166,7,5,166,4,9679,2013-04-09,11462.00,1719.30,13181.30,0.00,2013-04-15,1,4,2013-04-15 09:00:00.0000000
23387,4,5,167,4,4944,2013-04-10,84084.00,12612.60,96696.60,0.00,2013-04-15,1,4,2013-04-15 09:00:00.0000000
