StockItemStockGroupID,StockItemID,StockGroupID,LastEditedBy,LastEditedWhen
165,56,6,1,2013-01-01 00:00:00.0000000
166,56,3,1,2013-01-01 00:00:00.0000000
167,56,1,1,2013-01-01 00:00:00.0000000
168,57,6,1,2013-01-01 00:00:00.0000000
169,57,3,1,2013-01-01 00:00:00.0000000
170,57,1,1,2013-01-01 00:00:00.0000000
171,58,1,1,2013-01-01 00:00:00.0000000
172,58,9,1,2013-01-01 00:00:00.0000000
173,59,1,1,2013-01-01 00:00:00.0000000
174,59,9,1,2013-01-01 00:00:00.0000000
175,60,1,1,2013-01-01 00:00:00.0000000
176,60,9,1,2013-01-01 00:00:00.0000000
177,61,1,1,2013-01-01 00:00:00.0000000
178,61,9,1,2013-01-01 00:00:00.0000000
179,62,1,1,2013-01-01 00:00:00.0000000
180,62,9,1,2013-01-01 00:00:00.0000000
181,63,1,1,2013-01-01 00:00:00.0000000
182,63,9,1,2013-01-01 00:00:00.0000000
183,64,1,1,2013-01-01 00:00:00.0000000
184,64,9,1,2013-01-01 00:00:00.0000000
185,65,1,1,2013-01-01 00:00:00.0000000
186,65,9,1,2013-01-01 00:00:00.0000000
187,66,1,1,2013-01-01 00:00:00.0000000
188,66,9,1,2013-01-01 00:00:00.0000000
189,67,1,1,2013-01-01 00:00:00.0000000
190,67,9,1,2013-01-01 00:00:00.0000000
191,68,1,1,2013-01-01 00:00:00.0000000
192,68,9,1,2013-01-01 00:00:00.0000000
193,69,1,1,2013-01-01 00:00:00.0000000
194,69,9,1,2013-01-01 00:00:00.0000000
195,70,1,1,2013-01-01 00:00:00.0000000
196,70,9,1,2013-01-01 00:00:00.0000000
197,71,1,1,2013-01-01 00:00:00.0000000
198,71,9,1,2013-01-01 00:00:00.0000000
199,72,1,1,2013-01-01 00:00:00.0000000
200,72,9,1,2013-01-01 00:00:00.0000000
201,73,1,1,2013-01-01 00:00:00.0000000
202,73,9,1,2013-01-01 00:00:00.0000000
203,74,1,1,2013-01-01 00:00:00.0000000
204,74,9,1,2013-01-01 00:00:00.0000000
205,75,1,1,2013-01-01 00:00:00.0000000
206,75,9,1,2013-01-01 00:00:00.0000000
207,76,2,1,2013-01-01 00:00:00.0000000
208,76,6,1,2013-01-01 00:00:00.0000000
209,76,4,1,2013-01-01 00:00:00.0000000
210,77,2,1,2013-01-01 00:00:00.0000000
211,77,6,1,2013-01-01 00:00:00.0000000
212,77,4,1,2013-01-01 00:00:00.0000000
213,78,2,1,2013-01-01 00:00:00.0000000
214,78,6,1,2013-01-01 00:00:00.0000000
215,78,4,1,2013-01-01 00:00:00.0000000
216,79,2,1,2013-01-01 00:00:00.0000000
217,79,6,1,2013-01-01 00:00:00.0000000
218,79,4,1,2013-01-01 00:00:00.0000000
219,80,2,1,2013-01-01 00:00:00.0000000
220,80,6,1,2013-01-01 00:00:00.0000000
221,80,4,1,2013-01-01 00:00:00.0000000
222,81,2,1,2013-01-01 00:00:00.0000000
223,81,6,1,2013-01-01 00:00:00.0000000
224,81,4,1,2013-01-01 00:00:00.0000000
225,82,2,1,2013-01-01 00:00:00.0000000
226,82,6,1,2013-01-01 00:00:00.0000000
227,82,4,1,2013-01-01 00:00:00.0000000
228,83,2,1,2013-01-01 00:00:00.0000000
229,83,6,1,2013-01-01 00:00:00.0000000
230,83,4,1,2013-01-01 00:00:00.0000000
231,84,2,1,2013-01-01 00:00:00.0000000
232,84,6,1,2013-01-01 00:00:00.0000000
233,84,4,1,2013-01-01 00:00:00.0000000
234,85,2,1,2013-01-01 00:00:00.0000000
235,85,6,1,2013-01-01 00:00:00.0000000
236,85,4,1,2013-01-01 00:00:00.0000000
237,86,2,1,2013-01-01 00:00:00.0000000
238,86,6,1,2013-01-01 00:00:00.0000000
239,86,4,1,2013-01-01 00:00:00.0000000
240,87,2,1,2013-01-01 00:00:00.0000000
241,87,6,1,2013-01-01 00:00:00.0000000
242,87,4,1,2013-01-01 00:00:00.0000000
243,88,2,1,2013-01-01 00:00:00.0000000
244,88,6,1,2013-01-01 00:00:00.0000000
245,88,4,1,2013-01-01 00:00:00.0000000
246,89,2,1,2013-01-01 00:00:00.0000000
247,89,6,1,2013-01-01 00:00:00.0000000
248,89,4,1,2013-01-01 00:00:00.0000000
249,90,2,1,2013-01-01 00:00:00.0000000
250,90,6,1,2013-01-01 00:00:00.0000000
251,90,4,1,2013-01-01 00:00:00.0000000
252,91,2,1,2013-01-01 00:00:00.0000000
253,91,6,1,2013-01-01 00:00:00.0000000
254,91,4,1,2013-01-01 00:00:00.0000000
255,92,2,1,2013-01-01 00:00:00.0000000
256,92,6,1,2013-01-01 00:00:00.0000000
257,92,4,1,2013-01-01 00:00:00.0000000
258,93,2,1,2013-01-01 00:00:00.0000000
259,93,6,1,2013-01-01 00:00:00.0000000
260,93,4,1,2013-01-01 00:00:00.0000000
261,94,2,1,2013-01-01 00:00:00.0000000
262,94,6,1,2013-01-01 00:00:00.0000000
263,94,4,1,2013-01-01 00:00:00.0000000
264,95,2,1,2013-01-01 00:00:00.0000000
265,95,6,1,2013-01-01 00:00:00.0000000
266,95,4,1,2013-01-01 00:00:00.0000000
267,96,2,1,2013-01-01 00:00:00.0000000
268,96,6,1,2013-01-01 00:00:00.0000000
269,96,4,1,2013-01-01 00:00:00.0000000
270,97,2,1,2013-01-01 00:00:00.0000000
271,97,6,1,2013-01-01 00:00:00.0000000
272,97,4,1,2013-01-01 00:00:00.0000000
273,98,2,1,2013-01-01 00:00:00.0000000
274,98,6,1,2013-01-01 00:00:00.0000000
275,98,4,1,2013-01-01 00:00:00.0000000
276,99,2,1,2013-01-01 00:00:00.0000000
277,99,6,1,2013-01-01 00:00:00.0000000
278,99,4,1,2013-01-01 00:00:00.0000000
279,100,2,1,2013-01-01 00:00:00.0000000
280,100,6,1,2013-01-01 00:00:00.0000000
281,100,4,1,2013-01-01 00:00:00.0000000
282,101,2,1,2013-01-01 00:00:00.0000000
283,101,6,1,2013-01-01 00:00:00.0000000
284,101,4,1,2013-01-01 00:00:00.0000000
285,102,2,1,2013-01-01 00:00:00.0000000
286,103,2,1,2013-01-01 00:00:00.0000000
287,104,2,1,2013-01-01 00:00:00.0000000
288,105,2,1,2013-01-01 00:00:00.0000000
289,106,2,1,2013-01-01 00:00:00.0000000
290,107,2,1,2013-01-01 00:00:00.0000000
291,108,2,1,2013-01-01 00:00:00.0000000
292,109,2,1,2013-01-01 00:00:00.0000000
293,110,2,1,2013-01-01 00:00:00.0000000
294,111,2,1,2013-01-01 00:00:00.0000000
295,112,2,1,2013-01-01 00:00:00.0000000
296,113,2,1,2013-01-01 00:00:00.0000000
297,114,2,1,2013-01-01 00:00:00.0000000
298,115,2,1,2013-01-01 00:00:00.0000000
299,116,2,1,2013-01-01 00:00:00.0000000
300,117,2,1,2013-01-01 00:00:00.0000000
301,118,2,1,2013-01-01 00:00:00.0000000
302,118,8,1,2013-01-01 00:00:00.0000000
303,119,2,1,2013-01-01 00:00:00.0000000
304,119,8,1,2013-01-01 00:00:00.0000000
305,120,2,1,2013-01-01 00:00:00.0000000
306,120,8,1,2013-01-01 00:00:00.0000000
307,121,2,1,2013-01-01 00:00:00.0000000
308,121,8,1,2013-01-01 00:00:00.0000000
309,122,2,1,2013-01-01 00:00:00.0000000
310,122,8,1,2013-01-01 00:00:00.0000000
311,123,2,1,2013-01-01 00:00:00.0000000
312,123,8,1,2013-01-01 00:00:00.0000000
313,124,2,1,2013-01-01 00:00:00.0000000
314,124,8,1,2013-01-01 00:00:00.0000000
315,125,2,1,2013-01-01 00:00:00.0000000
316,125,8,1,2013-01-01 00:00:00.0000000
317,126,2,1,2013-01-01 00:00:00.0000000
318,126,8,1,2013-01-01 00:00:00.0000000
319,127,2,1,2013-01-01 00:00:00.0000000
320,127,8,1,2013-01-01 00:00:00.0000000
321,128,2,1,2013-01-01 00:00:00.0000000
322,128,8,1,2013-01-01 00:00:00.0000000
323,129,2,1,2013-01-01 00:00:00.0000000
324,129,8,1,2013-01-01 00:00:00.0000000
325,130,2,1,2013-01-01 00:00:00.0000000
326,130,8,1,2013-01-01 00:00:00.0000000
327,131,2,1,2013-01-01 00:00:00.0000000
328,131,8,1,2013-01-01 00:00:00.0000000
329,132,2,1,2013-01-01 00:00:00.0000000
330,132,8,1,2013-01-01 00:00:00.0000000
331,133,2,1,2013-01-01 00:00:00.0000000
332,133,8,1,2013-01-01 00:00:00.0000000
333,134,2,1,2013-01-01 00:00:00.0000000
334,134,8,1,2013-01-01 00:00:00.0000000
335,135,2,1,2013-01-01 00:00:00.0000000
336,135,8,1,2013-01-01 00:00:00.0000000
337,136,2,1,2013-01-01 00:00:00.0000000
338,136,8,1,2013-01-01 00:00:00.0000000
339,137,2,1,2013-01-01 00:00:00.0000000
340,137,8,1,2013-01-01 00:00:00.0000000
341,138,2,1,2013-01-01 00:00:00.0000000
342,138,8,1,2013-01-01 00:00:00.0000000
343,139,2,1,2013-01-01 00:00:00.0000000
344,139,8,1,2013-01-01 00:00:00.0000000
345,140,2,1,2013-01-01 00:00:00.0000000
346,140,8,1,2013-01-01 00:00:00.0000000
347,141,2,1,2013-01-01 00:00:00.0000000
348,141,8,1,2013-01-01 00:00:00.0000000
349,142,2,1,2013-01-01 00:00:00.0000000
350,142,1,1,2013-01-01 00:00:00.0000000
351,143,2,1,2013-01-01 00:00:00.0000000
352,143,1,1,2013-01-01 00:00:00.0000000
353,144,2,1,2013-01-01 00:00:00.0000000
354,144,1,1,2013-01-01 00:00:00.0000000
355,145,2,1,2013-01-01 00:00:00.0000000
356,145,1,1,2013-01-01 00:00:00.0000000
357,146,2,1,2013-01-01 00:00:00.0000000
358,146,1,1,2013-01-01 00:00:00.0000000
359,147,2,1,2013-01-01 00:00:00.0000000
360,147,1,1,2013-01-01 00:00:00.0000000
361,148,2,1,2013-01-01 00:00:00.0000000
362,148,1,1,2013-01-01 00:00:00.0000000
363,149,2,1,2013-01-01 00:00:00.0000000
364,149,1,1,2013-01-01 00:00:00.0000000
365,150,9,1,2013-01-01 00:00:00.0000000
366,151,9,1,2013-01-01 00:00:00.0000000
367,152,9,1,2013-01-01 00:00:00.0000000
368,153,10,1,2013-01-01 00:00:00.0000000
369,154,10,1,2013-01-01 00:00:00.0000000
370,155,10,1,2013-01-01 00:00:00.0000000
371,156,10,1,2013-01-01 00:00:00.0000000
372,157,10,1,2013-01-01 00:00:00.0000000
373,158,10,1,2013-01-01 00:00:00.0000000
374,159,10,1,2013-01-01 00:00:00.0000000
375,160,10,1,2013-01-01 00:00:00.0000000
376,161,10,1,2013-01-01 00:00:00.0000000
377,162,10,1,2013-01-01 00:00:00.0000000
378,163,10,1,2013-01-01 00:00:00.0000000
379,164,10,1,2013-01-01 00:00:00.0000000
380,165,10,1,2013-01-01 00:00:00.0000000
381,166,10,1,2013-01-01 00:00:00.0000000
382,167,10,1,2013-01-01 00:00:00.0000000
383,168,10,1,2013-01-01 00:00:00.0000000
384,169,10,1,2013-01-01 00:00:00.0000000
385,170,10,1,2013-01-01 00:00:00.0000000
386,171,10,1,2013-01-01 00:00:00.0000000
387,172,10,1,2013-01-01 00:00:00.0000000
388,173,10,1,2013-01-01 00:00:00.0000000
389,174,10,1,2013-01-01 00:00:00.0000000
390,175,10,1,2013-01-01 00:00:00.0000000
391,176,10,1,2013-01-01 00:00:00.0000000
392,177,10,1,2013-01-01 00:00:00.0000000
393,178,10,1,2013-01-01 00:00:00.0000000
394,179,10,1,2013-01-01 00:00:00.0000000
395,180,10,1,2013-01-01 00:00:00.0000000
396,181,10,1,2013-01-01 00:00:00.0000000
397,182,10,1,2013-01-01 00:00:00.0000000
398,183,10,1,2013-01-01 00:00:00.0000000
399,184,10,1,2013-01-01 00:00:00.0000000
400,185,10,1,2013-01-01 00:00:00.0000000
401,186,10,1,2013-01-01 00:00:00.0000000
402,187,10,1,2013-01-01 00:00:00.0000000
403,188,10,1,2013-01-01 00:00:00.0000000
404,189,10,1,2013-01-01 00:00:00.0000000
405,190,10,1,2013-01-01 00:00:00.0000000
406,191,10,1,2013-01-01 00:00:00.0000000
407,192,10,1,2013-01-01 00:00:00.0000000
408,193,10,1,2013-01-01 00:00:00.0000000
409,194,10,1,2013-01-01 00:00:00.0000000
410,195,10,1,2013-01-01 00:00:00.0000000
411,196,10,1,2013-01-01 00:00:00.0000000
412,197,10,1,2013-01-01 00:00:00.0000000
413,198,10,1,2013-01-01 00:00:00.0000000
414,199,10,1,2013-01-01 00:00:00.0000000
415,200,10,1,2013-01-01 00:00:00.0000000
416,201,10,1,2013-01-01 00:00:00.0000000
417,202,10,1,2013-01-01 00:00:00.0000000
418,203,10,1,2013-01-01 00:00:00.0000000
419,204,10,1,2013-01-01 00:00:00.0000000
420,205,10,1,2013-01-01 00:00:00.0000000
421,206,10,1,2013-01-01 00:00:00.0000000
422,207,10,1,2013-01-01 00:00:00.0000000
423,208,10,1,2013-01-01 00:00:00.0000000
424,209,10,1,2013-01-01 00:00:00.0000000
425,210,10,1,2013-01-01 00:00:00.0000000
426,211,10,1,2013-01-01 00:00:00.0000000
427,212,10,1,2013-01-01 00:00:00.0000000
428,213,10,1,2013-01-01 00:00:00.0000000
429,214,10,1,2013-01-01 00:00:00.0000000
430,215,10,1,2013-01-01 00:00:00.0000000
431,216,10,1,2013-01-01 00:00:00.0000000
432,217,10,1,2013-01-01 00:00:00.0000000
433,218,10,1,2013-01-01 00:00:00.0000000
434,219,10,1,2013-01-01 00:00:00.0000000
435,220,1,1,2016-01-01 00:00:00.0000000
436,221,1,1,2016-01-01 00:00:00.0000000
437,222,1,1,2016-01-02 00:00:00.0000000
438,223,1,1,2016-01-02 00:00:00.0000000
439,224,1,1,2016-01-04 00:00:00.0000000
440,225,1,1,2016-01-04 00:00:00.0000000
441,226,1,1,2016-01-05 00:00:00.0000000
442,227,1,1,2016-01-05 00:00:00.0000000
